location_name,location,Week,tavg,pres,year,epiweek,week,enddate,pavg
West Virginia,54,2010-01-23,5.142857142857143,1016.2000000000002,2010,201003,3,2010-01-23,1012.7952380952381
Wisconsin,55,2010-01-23,-2.6000000000000005,1009.7666666666668,2010,201003,3,2010-01-23,1014.1380952380952
Wyoming,56,2010-01-23,0.17857142857142858,997.3,2010,201003,3,2010-01-23,1001.5714285714286
Alabama,01,2010-01-30,6.804761904761904,1013.1666666666666,2010,201004,4,2010-01-30,1016.1047619047621
Alaska,02,2010-01-30,-10.123809523809523,1013.7333333333332,2010,201004,4,2010-01-30,1011.0619047619047
Arizona,04,2010-01-30,11.771428571428572,1013.3666666666667,2010,201004,4,2010-01-30,1014.5952380952382
Arkansas,05,2010-01-30,1.957142857142857,1022.45,2010,201004,4,2010-01-30,1017.6642857142858
California,06,2010-01-30,12.247619047619049,1015.7999999999998,2010,201004,4,2010-01-30,1016.3904761904762
Colorado,08,2010-01-30,-1.3952380952380952,1017.7666666666668,2010,201004,4,2010-01-30,1017.5095238095239
Connecticut,09,2010-01-30,-0.10000000000000016,1021.9333333333334,2010,201004,4,2010-01-30,1014.3857142857142
Delaware,10,2010-01-30,1.3142857142857145,1022.9,2010,201004,4,2010-01-30,1015.8285714285713
Florida,12,2010-01-30,17.247619047619047,1012.1,2010,201004,4,2010-01-30,1017.3047619047619
Georgia,13,2010-01-30,7.7333333333333325,1011.6333333333333,2010,201004,4,2010-01-30,1015.8809523809524
Hawaii,15,2010-01-30,23.49047619047619,1011.8666666666667,2010,201004,4,2010-01-30,1012.9571428571429
Idaho,16,2010-01-30,3.0285714285714285,1016.6,2010,201004,4,2010-01-30,1019.0571428571429
Illinois,17,2010-01-30,-6.423809523809524,1025.0666666666668,2010,201004,4,2010-01-30,1015.5142857142857
Indiana,18,2010-01-30,-3.1904761904761907,1022.3666666666668,2010,201004,4,2010-01-30,1016.1809523809525
Iowa,19,2010-01-30,-9.114285714285716,1025.7666666666667,2010,201004,4,2010-01-30,1017.8309523809522
Kansas,20,2010-01-30,-2.5285714285714285,1024.3666666666668,2010,201004,4,2010-01-30,1019.5619047619048
Kentucky,21,2010-01-30,0.0904761904761904,1018.8666666666668,2010,201004,4,2010-01-30,1016.4380952380952
Louisiana,22,2010-01-30,10.52142857142857,1018.85,2010,201004,4,2010-01-30,1017.1928571428572
Maine,23,2010-01-30,-2.5928571428571425,1018.6,2010,201004,4,2010-01-30,1011.1285714285715
Maryland,24,2010-01-30,1.233333333333333,1022.5,2010,201004,4,2010-01-30,1015.4690476190477
Massachusetts,25,2010-01-30,-1.9619047619047623,1020.3666666666667,2010,201004,4,2010-01-30,1013.0047619047618
Michigan,26,2010-01-30,-4.247619047619048,1025.8999999999999,2010,201004,4,2010-01-30,1013.8476190476189
Minnesota,27,2010-01-30,-11.095238095238097,1025.8999999999999,2010,201004,4,2010-01-30,1016.0904761904764
Mississippi,28,2010-01-30,8.285714285714286,1016.9666666666667,2010,201004,4,2010-01-30,1016.5333333333334
